"DES","ORI","flow","DES_NAME","DES_Y","DES_X","ORI_NAME","ORI_Y","ORI_X"
13021,13113,220,"Bibb",32.80904227,-83.70489165,"Fayette",33.41357794,-84.49089434
13021,13117,258,"Bibb",32.80904227,-83.70489165,"Forsyth",34.22604035,-84.1231513
13021,13121,1267,"Bibb",32.80904227,-83.70489165,"Fulton",33.79216944,-84.46319413
13021,13127,161,"Bibb",32.80904227,-83.70489165,"Glynn",31.23279254,-81.53811412
13021,13135,1440,"Bibb",32.80904227,-83.70489165,"Gwinnett",33.96044201,-84.02137802
13021,13139,279,"Bibb",32.80904227,-83.70489165,"Hall",34.32207823,-83.81896936
13021,13151,990,"Bibb",32.80904227,-83.70489165,"Henry",33.4533428,-84.1481466
13021,13153,10175,"Bibb",32.80904227,-83.70489165,"Houston",32.45802497,-83.66879087
13021,13159,213,"Bibb",32.80904227,-83.70489165,"Jasper",33.31535543,-83.68844964
13021,13167,100,"Bibb",32.80904227,-83.70489165,"Johnson",32.70211082,-82.66166794
13021,13169,4788,"Bibb",32.80904227,-83.70489165,"Jones",33.02512137,-83.56019163
13021,13171,326,"Bibb",32.80904227,-83.70489165,"Lamar",33.07841647,-84.14263877
13021,13175,988,"Bibb",32.80904227,-83.70489165,"Laurens",32.46325233,-82.92221316
13021,13177,129,"Bibb",32.80904227,-83.70489165,"Lee",31.7793306,-84.14324253
13021,13179,139,"Bibb",32.80904227,-83.70489165,"Liberty",31.82588896,-81.49251135
13021,13185,351,"Bibb",32.80904227,-83.70489165,"Lowndes",30.83568832,-83.27056716
13021,13193,217,"Bibb",32.80904227,-83.70489165,"Macon",32.35207048,-84.04234127
13021,13207,3240,"Bibb",32.80904227,-83.70489165,"Monroe",33.014289,-83.92097166
13021,13215,625,"Bibb",32.80904227,-83.70489165,"Muscogee",32.50931999,-84.87142262
13021,13217,285,"Bibb",32.80904227,-83.70489165,"Newton",33.55514538,-83.8454714
13021,13223,264,"Bibb",32.80904227,-83.70489165,"Paulding",33.91969522,-84.86848792
13021,13225,1860,"Bibb",32.80904227,-83.70489165,"Peach",32.56934316,-83.82937
13021,13231,189,"Bibb",32.80904227,-83.70489165,"Pike",33.09310242,-84.38790389
13021,13235,125,"Bibb",32.80904227,-83.70489165,"Pulaski",32.23334561,-83.4754996
13021,13237,406,"Bibb",32.80904227,-83.70489165,"Putnam",33.32056115,-83.37552891
13021,13245,621,"Bibb",32.80904227,-83.70489165,"Richmond",33.35777107,-82.07026432
13021,13247,282,"Bibb",32.80904227,-83.70489165,"Rockdale",33.65145002,-84.02202167
13021,13255,166,"Bibb",32.80904227,-83.70489165,"Spalding",33.26310031,-84.28013991
13021,13261,351,"Bibb",32.80904227,-83.70489165,"Sumter",32.03650571,-84.19821492
13021,13269,236,"Bibb",32.80904227,-83.70489165,"Taylor",32.55792548,-84.25077141
13021,13271,115,"Bibb",32.80904227,-83.70489165,"Telfair",31.92829517,-82.93491155
13021,13277,152,"Bibb",32.80904227,-83.70489165,"Tift",31.45743864,-83.5236119
13021,13279,166,"Bibb",32.80904227,-83.70489165,"Toombs",32.12059861,-82.32957247
13021,13285,209,"Bibb",32.80904227,-83.70489165,"Troup",33.03349196,-85.02812115
13021,13289,1037,"Bibb",32.80904227,-83.70489165,"Twiggs",32.67435595,-83.43078662
13021,13293,444,"Bibb",32.80904227,-83.70489165,"Upson",32.87920671,-84.30024826
13021,13297,214,"Bibb",32.80904227,-83.70489165,"Walton",33.78017694,-83.73552314
13021,13299,109,"Bibb",32.80904227,-83.70489165,"Ware",31.05449097,-82.42224148
13021,13319,531,"Bibb",32.80904227,-83.70489165,"Wilkinson",32.80291082,-83.17140684
13023,13023,1168,"Bleckley",32.43829035,-83.33035166,"Bleckley",32.43829035,-83.33035166
13023,13091,231,"Bleckley",32.43829035,-83.33035166,"Dodge",32.17265114,-83.16948926
13023,13153,198,"Bleckley",32.43829035,-83.33035166,"Houston",32.45802497,-83.66879087
13023,13175,204,"Bleckley",32.43829035,-83.33035166,"Laurens",32.46325233,-82.92221316
13025,13025,1309,"Brantley",31.19576557,-81.97743999,"Brantley",31.19576557,-81.97743999
13025,13229,250,"Brantley",31.19576557,-81.97743999,"Pierce",31.35928155,-82.21598442
13025,13299,188,"Brantley",31.19576557,-81.97743999,"Ware",31.05449097,-82.42224148
13027,13027,1144,"Brooks",30.83922642,-83.58303423,"Brooks",30.83922642,-83.58303423
13027,13185,525,"Brooks",30.83922642,-83.58303423,"Lowndes",30.83568832,-83.27056716
13027,13275,182,"Brooks",30.83922642,-83.58303423,"Thomas",30.86392347,-83.91847289
13029,13029,2876,"Bryan",32.00979311,-81.44002948,"Bryan",32.00979311,-81.44002948
13029,13031,478,"Bryan",32.00979311,-81.44002948,"Bulloch",32.39577406,-81.74811421
13029,13051,1725,"Bryan",32.00979311,-81.44002948,"Chatham",32.00043026,-81.12489526
13029,13103,474,"Bryan",32.00979311,-81.44002948,"Effingham",32.36616021,-81.34280942
13029,13179,657,"Bryan",32.00979311,-81.44002948,"Liberty",31.82588896,-81.49251135
13031,13001,144,"Bulloch",32.39577406,-81.74811421,"Appling",31.74847232,-82.28909114
13031,13021,183,"Bulloch",32.39577406,-81.74811421,"Bibb",32.80904227,-83.70489165
13031,13029,393,"Bulloch",32.39577406,-81.74811421,"Bryan",32.00979311,-81.44002948
13031,13031,12802,"Bulloch",32.39577406,-81.74811421,"Bulloch",32.39577406,-81.74811421
13031,13033,159,"Bulloch",32.39577406,-81.74811421,"Burke",33.05917989,-81.99928721
13031,13039,176,"Bulloch",32.39577406,-81.74811421,"Camden",30.92951916,-81.66601818
13031,13043,642,"Bulloch",32.39577406,-81.74811421,"Candler",32.40209349,-82.07702563
13031,13051,1193,"Bulloch",32.39577406,-81.74811421,"Chatham",32.00043026,-81.12489526
13031,13063,107,"Bulloch",32.39577406,-81.74811421,"Clayton",33.54187245,-84.35594188
13031,13067,204,"Bulloch",32.39577406,-81.74811421,"Cobb",33.94243204,-84.5761255
13031,13073,185,"Bulloch",32.39577406,-81.74811421,"Columbia",33.54534185,-82.263524
13031,13089,146,"Bulloch",32.39577406,-81.74811421,"DeKalb",33.76944049,-84.22396017
13031,13095,115,"Bulloch",32.39577406,-81.74811421,"Dougherty",31.53328528,-84.21722377
13031,13103,768,"Bulloch",32.39577406,-81.74811421,"Effingham",32.36616021,-81.34280942
13031,13107,406,"Bulloch",32.39577406,-81.74811421,"Emanuel",32.59221302,-82.30239915
13031,13109,406,"Bulloch",32.39577406,-81.74811421,"Evans",32.15328841,-81.8870105
13031,13121,210,"Bulloch",32.39577406,-81.74811421,"Fulton",33.79216944,-84.46319413
13031,13127,262,"Bulloch",32.39577406,-81.74811421,"Glynn",31.23279254,-81.53811412
13031,13135,268,"Bulloch",32.39577406,-81.74811421,"Gwinnett",33.96044201,-84.02137802
13031,13153,173,"Bulloch",32.39577406,-81.74811421,"Houston",32.45802497,-83.66879087
13031,13165,360,"Bulloch",32.39577406,-81.74811421,"Jenkins",32.79248718,-81.96040187
13031,13179,399,"Bulloch",32.39577406,-81.74811421,"Liberty",31.82588896,-81.49251135
13031,13185,125,"Bulloch",32.39577406,-81.74811421,"Lowndes",30.83568832,-83.27056716
13031,13215,100,"Bulloch",32.39577406,-81.74811421,"Muscogee",32.50931999,-84.87142262
13031,13245,299,"Bulloch",32.39577406,-81.74811421,"Richmond",33.35777107,-82.07026432
13031,13251,867,"Bulloch",32.39577406,-81.74811421,"Screven",32.74976524,-81.60779441
13031,13267,357,"Bulloch",32.39577406,-81.74811421,"Tattnall",32.04785085,-82.05539188
13031,13305,199,"Bulloch",32.39577406,-81.74811421,"Wayne",31.5521809,-81.91894878
13033,13001,121,"Burke",33.05917989,-81.99928721,"Appling",31.74847232,-82.28909114
13033,13031,173,"Burke",33.05917989,-81.99928721,"Bulloch",32.39577406,-81.74811421
13033,13033,3202,"Burke",33.05917989,-81.99928721,"Burke",33.05917989,-81.99928721
13033,13073,1232,"Burke",33.05917989,-81.99928721,"Columbia",33.54534185,-82.263524
13033,13107,146,"Burke",33.05917989,-81.99928721,"Emanuel",32.59221302,-82.30239915
13033,13163,206,"Burke",33.05917989,-81.99928721,"Jefferson",33.05867328,-82.41609057
13033,13165,295,"Burke",33.05917989,-81.99928721,"Jenkins",32.79248718,-81.96040187
13033,13189,109,"Burke",33.05917989,-81.99928721,"McDuffie",33.47851918,-82.48252774
13033,13245,2161,"Burke",33.05917989,-81.99928721,"Richmond",33.35777107,-82.07026432
13033,13251,281,"Burke",33.05917989,-81.99928721,"Screven",32.74976524,-81.60779441
13035,13035,1863,"Butts",33.2830945,-83.9543504,"Butts",33.2830945,-83.9543504
13035,13063,110,"Butts",33.2830945,-83.9543504,"Clayton",33.54187245,-84.35594188
13035,13151,618,"Butts",33.2830945,-83.9543504,"Henry",33.4533428,-84.1481466
13035,13159,148,"Butts",33.2830945,-83.9543504,"Jasper",33.31535543,-83.68844964
13035,13171,219,"Butts",33.2830945,-83.9543504,"Lamar",33.07841647,-84.14263877
13035,13207,307,"Butts",33.2830945,-83.9543504,"Monroe",33.014289,-83.92097166
13035,13217,193,"Butts",33.2830945,-83.9543504,"Newton",33.55514538,-83.8454714
13035,13255,351,"Butts",33.2830945,-83.9543504,"Spalding",33.26310031,-84.28013991
13037,13037,332,"Calhoun",31.53169785,-84.62725131,"Calhoun",31.53169785,-84.62725131
13037,13099,128,"Calhoun",31.53169785,-84.62725131,"Early",31.32155345,-84.90255207
13039,13025,112,"Camden",30.92951916,-81.66601818,"Brantley",31.19576557,-81.97743999
13039,13039,6692,"Camden",30.92951916,-81.66601818,"Camden",30.92951916,-81.66601818
13039,13049,295,"Camden",30.92951916,-81.66601818,"Charlton",30.78371028,-82.13951596
13039,13051,178,"Camden",30.92951916,-81.66601818,"Chatham",32.00043026,-81.12489526
13039,13127,632,"Camden",30.92951916,-81.66601818,"Glynn",31.23279254,-81.53811412
13039,13135,115,"Camden",30.92951916,-81.66601818,"Gwinnett",33.96044201,-84.02137802
13039,13299,150,"Camden",30.92951916,-81.66601818,"Ware",31.05449097,-82.42224148
13043,13031,306,"Candler",32.40209349,-82.07702563,"Bulloch",32.39577406,-81.74811421
13043,13043,1151,"Candler",32.40209349,-82.07702563,"Candler",32.40209349,-82.07702563
13043,13107,195,"Candler",32.40209349,-82.07702563,"Emanuel",32.59221302,-82.30239915
13043,13267,122,"Candler",32.40209349,-82.07702563,"Tattnall",32.04785085,-82.05539188
13045,13015,498,"Carroll",33.58138199,-85.07976677,"Bartow",34.23732119,-84.83887523
13045,13021,120,"Carroll",33.58138199,-85.07976677,"Bibb",32.80904227,-83.70489165
13045,13045,18583,"Carroll",33.58138199,-85.07976677,"Carroll",33.58138199,-85.07976677
13045,13057,284,"Carroll",33.58138199,-85.07976677,"Cherokee",34.24393976,-84.47431861
13045,13059,101,"Carroll",33.58138199,-85.07976677,"Clarke",33.95436462,-83.37124007
13045,13063,385,"Carroll",33.58138199,-85.07976677,"Clayton",33.54187245,-84.35594188
13045,13067,1392,"Carroll",33.58138199,-85.07976677,"Cobb",33.94243204,-84.5761255
13045,13077,1133,"Carroll",33.58138199,-85.07976677,"Coweta",33.35334302,-84.76129976
13045,13089,618,"Carroll",33.58138199,-85.07976677,"DeKalb",33.76944049,-84.22396017
13045,13097,2683,"Carroll",33.58138199,-85.07976677,"Douglas",33.70291126,-84.77026156
13045,13113,371,"Carroll",33.58138199,-85.07976677,"Fayette",33.41357794,-84.49089434
13045,13115,441,"Carroll",33.58138199,-85.07976677,"Floyd",34.26268279,-85.21577392
13045,13117,195,"Carroll",33.58138199,-85.07976677,"Forsyth",34.22604035,-84.1231513
13045,13121,1040,"Carroll",33.58138199,-85.07976677,"Fulton",33.79216944,-84.46319413
13045,13135,624,"Carroll",33.58138199,-85.07976677,"Gwinnett",33.96044201,-84.02137802
13045,13139,232,"Carroll",33.58138199,-85.07976677,"Hall",34.32207823,-83.81896936
13045,13143,2595,"Carroll",33.58138199,-85.07976677,"Haralson",33.79602175,-85.21005667
13045,13149,635,"Carroll",33.58138199,-85.07976677,"Heard",33.29686567,-85.12886832
13045,13151,325,"Carroll",33.58138199,-85.07976677,"Henry",33.4533428,-84.1481466
